name_S24,islandmark_C,lat_R,lon_R,projectionlat_R,projectionlon_R,xang_R,yang_R,evalwidth_U,evalheight_U,useforbbr_C,useforffr_C,useforssr_C,useforglm_C,useforlr14_C,useforlr28_C,useforlr56_C,useforfd_C,useforconus_C,useformeso_C
000019_140.7_BBR, ,48.9978,86.3847,0,140.7,-0.084917005,0.12002901,256,256, , , , , , , , , , 
000020_-75.0_BBR, ,47.7698,-116.881,0,-75,-0.072919005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000020_-137.0_BBR, ,47.7698,-178.881,0,-137,-0.072919005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000020_-89.5_BBR, ,47.7698,-131.381,0,-89.5,-0.072919005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000020_140.7_BBR, ,47.7698,98.819,0,140.7,-0.072919005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000021_-75.0_BBR, ,47.0348,-107.9067,0,-75,-0.060921005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000021_-137.0_BBR, ,47.0348,-169.9067,0,-137,-0.060921005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000021_-89.5_BBR, ,47.0348,-122.4067,0,-89.5,-0.060921005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000021_140.7_BBR, ,47.0348,107.7933,0,140.7,-0.060921005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000022_-75.0_BBR, ,46.5355,-100.3748,0,-75,-0.048923005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000022_-137.0_BBR, ,46.5355,-162.3748,0,-137,-0.048923005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000022_-89.5_BBR, ,46.5355,-114.8748,0,-89.5,-0.048923005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000022_140.7_BBR, ,46.5355,115.3252,0,140.7,-0.048923005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000023_-75.0_BBR, ,46.1894,-93.6293,0,-75,-0.036925005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000023_-137.0_BBR, ,46.1894,-155.6293,0,-137,-0.036925005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000023_-89.5_BBR, ,46.1894,-108.1293,0,-89.5,-0.036925005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000023_140.7_BBR, ,46.1894,122.0707,0,140.7,-0.036925005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000024_-75.0_BBR, ,45.9588,-87.3489,0,-75,-0.024927005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000024_-137.0_BBR, ,45.9588,-149.3489,0,-137,-0.024927005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000024_-89.5_BBR, ,45.9588,-101.8489,0,-89.5,-0.024927005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000024_140.7_BBR, ,45.9588,128.3511,0,140.7,-0.024927005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000025_-75.0_BBR, ,45.8243,-81.3377,0,-75,-0.012929005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000025_-137.0_BBR, ,45.8243,-143.3377,0,-137,-0.012929005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000025_-89.5_BBR, ,45.8243,-95.8377,0,-89.5,-0.012929005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000025_140.7_BBR, ,45.8243,134.3622,0,140.7,-0.012929005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000026_-75.0_BBR, ,45.7762,-75.4547,0,-75,-0.000931005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000026_-137.0_BBR, ,45.7762,-137.4547,0,-137,-0.000931005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000026_-89.5_BBR, ,45.7762,-89.9547,0,-89.5,-0.000931005,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000026_140.7_BBR, ,45.7762,140.2453,0,140.7,-0.000931005,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000027_-75.0_BBR, ,45.8113,-69.5805,0,-75,0.011066995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000027_-137.0_BBR, ,45.8113,-131.5805,0,-137,0.011066995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
000027_-89.5_BBR, ,45.8113,-84.0805,0,-89.5,0.011066995,0.12002901,256,256,1, ,1,1,1,1,1,1,1,1
000027_140.7_BBR, ,45.8113,146.1195,0,140.7,0.011066995,0.12002901,256,256,1, ,1, ,1,1,1,1,1,1
